GROUP,TYPE (YEAR),Proposal
Curling Club at Berkeley,SAG (4),$500.00
Danceworx,SAG (20),"$2,000.00"
Data Science Society at Berkeley,SAG (0),$0.00
datong society of china studies at Berkeley,SAG (0),$0.00
Delta Kappa Alpha,SAG (1),$400.00
Delta Phi Epsilon Co-Ed Professional Foreign Service Fraternity,SAG (14),$500.00
Department of Integrative Biology Students,SAG (0),$0.00
DiversaTech,SAG (0),$0.00
East Asian Union,SAG (6),"$1,400.00"
Eggster Organization,SAG (16),"$1,500.00"
EGO: UC Berkeley's Korean Traditional Percussion Group,SAG (6),$900.00
ElecTONIC,SAG (1),$850.00
Engineering Innovation & Consulting,SAG (0),$0.00
Engineering Student Council*,SAG (24),"$77,100.00"
English Undergraduate Association,SAG (11),$300.00
Epic Movement at Berkeley,SAG (0),$0.00
Escape the Lights Social Club,SAG (0),$0.00
eSports at Berkeley,SAG (4),$750.00
EU Student Ambassadors at Berkeley,SAG (0),$0.00
Fashion and Student Trends - FAST,SAG (5),$500.00
Fei Tian Dancers,SAG (13),$500.00
FEM Tech @ Berkeley (Female Empowerment and Mentoring in Tech),SAG (0),$0.00
Film Friends of Berkeley,SAG (3),$500.00
Finance and Entrepreneurship Club,SAG (2),$500.00
Financial Literacy Economic Justice Conference,SAG (0),$0.00
Food Science and Tech at Cal,SAG (3),$0.00
"Food, Equity, Entrepreneurship, & Development",SAG (0),$0.00
Foresight Pre-Optometry Club,SAG (25),"$1,150.00"
Freshman Sophmore Business Club,SAG (0),$0.00
Future Business Leaders of America ,SAG (12) ,"$1,850.00"
Geological Association at Berkeley,SAG (1),$400.00
Global Business Brigade at Berkeley,SAG (0),$200.00
Golden Bear Competitive Bhangra ,SAG (2) ,$500.00
Golden Bear Competitive Bhangra ,SAG (2) ,$400.00
Golden Squares (formerly Square Up),SAG (3),$500.00
Guitar Club at Berkeley,SAG (0),$0.00
Haas Business School Association,SAG (1),$500.00
Hellenic Student Association at Berkeley,SAG (0),$0.00
Hindu Students Council,SAG (9),"$1,050.00"
Hong Kong Student Association,SAG (24),"$2,400.00"
Horn of Africa Student Association,SAG (21),"$1,000.00"
Human Rights of the Incarcerated at UC Berkeley,SAG (4),$400.00
Humans of Berkeley,SAG (3),$500.00
Hyperloop Initiative Program,SAG (0),$0.00
Indian Students Association,SAG (13),"$8,600.00"
Indus,SAG (28) ,"$12,500.00"
Ink at Berkeley,SAG (3),$500.00
Interfaith Action Initiative,SAG (2),$400.00
International Students Advisory Committee,SAG (0),$0.00
International Students Association at Berkeley,SAG (16),"$1,100.00"
International Youth and Students for Social Equality,SAG (4),$425.00
InterVarsity Christian Fellowship,SAG (18),"$3,800.00"
"Iota Sigma Pi, Hydrogen Chapter",SAG (0),$0.00
Irish Dancers of Berkeley,SAG (3),$500.00
Italian Society at Berkeley (formerly Italian International Student Association),SAG (16),"$1,800.00"
Jakara Movement Club at Berkeley,SAG (1),$0.00
Jericho!,SAG (11),$500.00
Jewish Student Union*,SAG (39),"$15,000.00"
Juggers of the Seven Regents,SAG (0),$400.00
Kappa Alpha Pi,SAG (2),$0.00
Kappa Alpha Pi,SAG (1),$0.00
Kappa Gamma Delta,SAG (14),"$1,300.00"
Kathak at Berkeley,SAG (0),$500.00
Klesis,SAG (5),"$1,000.00"
Koinonia Campus Fellowship,SAG (11),"$2,050.00"
Korean American Student Organization,SAG (35),"$4,700.00"
Korean Performance Group,SAG (2),$500.00
Korean Performance Group,SAG (0),$0.00
Korean Tennis Club,SAG (0),$0.00
Korean Undergraduate Networking Association,SAG (9),$400.00
Korean-American Scientists and Engineers Association,SAG (0),$0.00
Korean-American Scientists and Engineers Association,SAG (0),$0.00
K-Popular at Berkeley,SAG (6),$500.00
Latin American Leadership Society,SAG (2),$500.00
Latino Pre-Law Society,SAG (14),"$1,500.00"
Latino Student Business Student Association,SAG (1),$400.00
Latinos Emerging in English,SAG (0),$0.00
Latinos Emerging in English,SAG (1) ,$0.00
Law in Practice at Berkeley,SAG (0),$600.00
Lebanese Student Association at Berkeley (LSAB),SAG (3),$700.00
Legends of Berkeley,SAG (0),$0.00
Liberty in North Korea Berkeley Chapter,SAG (12),$700.00
Lindy on Sproul,SAG (6),"$1,100.00"
lobby days coalition at Berkeley,SAG (1),$500.00
Main Stacks,SAG (8),"$1,500.00"
Mariachi Luz de Oro de Berkeley,SAG (5),$700.00
Marketing Community at Berkeley,SAG (3),$500.00
Materials science and Engineering Association,SAG (3),$0.00
Mexican Association of Students at Berkeley,SAG (3),$500.00
Microbial Sciences Organization,SAG (0),$0.00
Microfinance at Berkeley,SAG (5),$500.00
Mind Body Nutrition: Students for Integrative and Preventive Medicine,SAG (4),$500.00
Molecular and Cell Biology Cell Developmental Neurobiological Association - MCBcDNA,SAG (3),$500.00
Movement,SAG (16),"$3,700.00"
Muslim Student Association,SAG (30),"$10,400.00"
National Organization for Women,SAG (17),"$1,200.00"
National Student Speech Language Hearing Association at Berkeley,SAG (0),$0.00
Nepalese Student Association,SAG (0),$0.00
Net Impact Berkeley,SAG (15),"$1,400.00"
Nikkei Student Union,SAG (15),"$1,500.00"
Nuclear Policy Working Group,SAG (0),$0.00
Olive Tree Initiative,SAG (6),"$1,000.00"
Olive Tree Initiative,SAG (3),$800.00
Omicron Delta Epsilon Economics Honors Society,SAG (10),$450.00
Order of Omega,SAG (1),$500.00
"Out in Science, Technology, Engineering, and Mathematics",SAG (6),$0.00
Outlet,SAG (3),$500.00
Pakistani Student Association,SAG (13),"$1,000.00"
Parliamentary Debate at Berkeley,SAG (7),"$2,600.00"
Partnership for Pre-Professional Pilipinos,SAG (16),"$1,000.00"
Party Safe at Cal,SAG (4) ,$500.00
"Peers Espousing Amiability, Cooperation, and Education",SAG (4),$500.00
Phalanx: Pre-Medical Consulting,SAG (3),$300.00
"Phi Alpha Delta Law Fraternity, International",SAG (8),$500.00
Phi Alpha Theta,SAG (12),$750.00
Phi Chi Pre-Medical Fraternity,SAG (6),$700.00
Phi Delta Epsilon,SAG (9),$500.00
Phi Sigma Rho - Alpha Theta Chapter UC Berkeley Engineering Sorority,SAG (1),$400.00
Phoenix Symphony at Berkeley,SAG (1),$500.00
Pi Sigma Epsilon,SAG (4),$900.00
Pi Tau Sigma,SAG (2),$500.00
Pilipino American Alliance,SAG (26),"$8,320.00"
Pilipino Association for Health Careers,SAG (24),"$2,000.00"
"Pilipino Association of Scientists, Architects and Engineers",SAG (28),$900.00
Pilipino Basketball Association,SAG (0),$0.00
Plurality,SAG (0),$0.00
Pointe of Berkeley,SAG (0),$0.00
Pokemon Club at Berkeley,SAG (4),$700.00
pre law coalition for social justice at Berkeley,SAG (1),$600.00
PreDental Society,SAG (34),$900.00
Pre-Health Society,SAG (10),$450.00
Pre-Nursing Society,SAG (6),$550.00
"Pre-Pharmacy Informational, Learning and Leadership Society",SAG (16),"$1,800.00"
"Project Pengyou, Berkeley Chapter",SAG (2),$500.00
Psi Chi,SAG (10),$200.00
Psychedelic Science Society,SAG (0),$0.00
Quidditch League at Berkeley,SAG (0),$400.00
Ra-On,SAG (6),$850.00
RISE - Rising Immigrant Scholars through Education ,SAG (3) ,"$3,000.00"
Rubik's Cube Club at Berkeley,SAG (4),$475.00
Russian Student Association,SAG (11),$500.00
SACNAS at Berkeley: Undergraduate Chapter,SAG (4),$700.00
Salsa at Cal,SAG (6),$700.00
Sather Health,SAG (4),$750.00
Saudi Arabian Association at Berkeley,SAG (0),$0.00
Science Olympiad at Berkeley,SAG (0),$0.00
Sigma Alpha Nu,SAG (9),$300.00
Sigma Eta Pi ,SAG (1) ,$0.00
Sigma lota Rho - International Studies Honor Society (SIR),SAG (2),$500.00
Sigma Psi Zeta,SAG (2),$500.00
Sikh Student Association,SAG (11),"$1,100.00"
Singapore Malaysia Student Association,SAG (9),$400.00
Sirius at Berkeley (Sirius),SAG (0),$0.00
Smart Women Securities at Berkeley,SAG (1) ,$400.00
Society of Asian Scientists and Engineers,SAG (5),$300.00
Society of Engineering Sciences,SAG (0),$0.00
Society of Linguistics Undergraduate Students,SAG (0),$0.00
Sociological Research Symposium Committee,SAG (3),$500.00
Solar Decathalon,SAG (0),$0.00
Speech at Berkeley,SAG (7),$500.00
SPIRE,SAG (3),$500.00
Strait Talk,SAG (9),"$1,000.00"
Student Nutrition Advocacy Club,SAG (0),$200.00
Student Premed Advising Network ,SAG (2) ,$400.00
Student Society for Stem Cell Research,SAG (4),$400.00
Students for Bernie Sanders,SAG (1),$500.00
Students for Hillary at Berkeley,SAG (0),$0.00
Students for Hip Hop,SAG (16),"$6,900.00"
Students for Life at Berkeley,SAG (18),"$1,400.00"
"Students for Sensible Drug Policy, UC Berkeley Chapter",SAG (6),$500.00
Students United to Promote Education Reform,SAG (1),$0.00
Surf Team at Berkeley,SAG (0),$0.00
Surf Team at Berkeley ,SAG (4) ,$100.00
T.I.n.Y. Chinese Drama and Entertainment Company,SAG (1),$500.00
Taiwanese Student Association,SAG (20),"$2,200.00"
Tamid,SAG (0),$0.00
TBD Comedy,SAG (5),$500.00
Tennis At Cal,SAG (3),$200.00
The Bearettes: Drill Team at Berkeley,SAG (1),$400.00
The Berkeley Forum,SAG (5),"$4,250.00"
The Berkeley Group,SISG (14),"$1,800.00"
The Californians,SAG (14),"$2,100.00"
The Classical Forum at Berkeley,SAG (2),$500.00
The Music Connection,SAG (8),$400.00
Theatre Rice: Modern Asian-American Theater,SAG (17),"$2,600.00"
TheatriCal,SAG (0),$0.00
Tiny House in My Backyard,SAG (3),$500.00
Toxicology Student Association of Berkeley,SAG (6),$400.00
Tzu Chi Compassion Relief Foundation,SAG (9),$300.00
UC Berkeley Azaad,SAG (4),$900.00
Undergraduate Astronomy Society - Berkeley (UAS),SAG (0),$0.00
Undergraduate Biology Journal Club,SAG (0),$100.00
Undergraduate Communications Association,SAG (3),"$1,000.00"
Undergraduate Economics Association,SAG (16),$600.00
Undergraduate Financial Association/Undergraduate Management Consulting Group,SAG (9),$300.00
Undergraduate Marketing Association,SAG (20),$500.00
Undergraduate Real Estate Club,SAG (3),$500.00
Undergraduate Statistics Association,SAG (2) ,$500.00
Undergraduate Women in Economics at Berkeley,SAG (0),$0.00
Undergraduate Women in Economics at Berkeley ,SAG (1) ,$0.00
United Nations Association of Berkeley,SAG (0),$0.00
University of California at Berkeley Model United Nations,SAG (24),"$8,000.00"
University of California Rally Committee,SAG (116),"$35,800.00"
