GROUP,TYPE (YEAR),Proposal
Judicial Council Office,AOFR,$500.00
Marketing and Communications Office,AOFR,"$9,000.00"
Public Defender Stipend,AOFR,$150.00
Archives,OPRS,$0.00
ASUC ADMINISTRATIVE OFFICE,OPRS,"$77,770.00"
Legal Fee,OPRS,"$32,000.00"
Audit,OPRS,"$22,000.00"
Bank Fee,OPRS,"$1,000.00"
Big Ideas,OPRS,"$15,000.00"
Capital Improvement Fund Allocation,OPRS,$0.00
Executive Officer Leadership Institute,OPRS,"$3,000.00"
Elections Council - 1 Tech Coordinator Stipend,ELCT,$300.00
Elections Council - 2 Auditors Stipend ($150.00 each),ELCT,$400.00
Elections Council - Assistant Chair Stipend,ELCT,$400.00
Elections Council - Chair Stipend,ELCT,"$1,000.00"
Elections Council - Chief Auditor Stipend,ELCT,$400.00
Elections Council - Prosecutor Stipend,ELCT,$350.00
Elections Operations,ELCT,"$9,200.00"
ASUC Insurance (including Cal Lodge),GOVT,"$40,000.00"
ASUC Perspectives,GOVT,"$2,500.00"
