Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Project SMILE - Project Spreading Multiculturalism and Inspiring Leadership thro,SISG,6,3200.00,2200.00,2200.00,2200.00
Project Vision,SISG,8,570.00,570.00,570.00,570.00
PUENTE,SISG,2,250.00,250.00,250.00,250.00
Queer Alliance and Resource Center,SISG,47,25000.00,10000.00,10000.00,10000.00
Queer Straight Alliance,SISG,7,300.00,300.00,300.00,300.00
RAZA Recruitment and Retention Center,SISG,37,48000.00,25000.00,50000.00,50000.00
REACH! Asian/Pacific Islander Recruitment and Retention Center,SISG,19,61600.00,15000.00,16500.00,16500.00
Re-entry and Transfer Student Parent Association,SISG,17,5450.00,2500.00,2500.00,2500.00
Rotaract,SISG,10,8000.00,1200.00,1200.00,1200.00
Sage Mentorship Program,SISG,2,700.00,500.00,500.00,500.00
Sigma Gamma Rho Sorority Inc.,SISG,2,300.00,300.00,300.00,300.00
Sigma Pi Alpha,SISG,6,500.00,500.00,500.00,500.00
Southeast Asian Mentorship,SISG,8,1500.00,700.00,700.00,700.00
Southeast Asian Prison Outreach Project,SISG,4,650.00,650.00,650.00,650.00
Southeast Asian Student Coalition,SISG,14,5000.00,4500.00,6500.00,6500.00
Spring Foundation,SISG,3,700.00,700.00,700.00,700.00
Stop the Traffick,SISG,6,600.00,600.00,600.00,600.00
Student Abolitionist Movement,SISG,2,300.00,300.00,300.00,300.00
Student Financial Advisory Committee,SISG,1,0.00,0.00,0.00,0.00
Student National Medical Association-Minority Association of Pre-med Students,SISG,3,100.00,100.00,100.00,100.00
Student Parent Association for Recruitment and Retention,SISG,15,2700.00,2000.00,3500.00,3500.00
Students Of the World,SISG,2,550.00,500.00,500.00,500.00
Student-to-Student Peer Counseling,SISG,24,3000.00,2500.00,2500.00,2500.00
Suitcase Clinic,SISG,16,7000.00,2500.00,7000.00,7000.00
Supporting Peers In Laid-back Listening,SISG,5,450.00,450.00,450.00,450.00
Take Back the Night,SISG,12,500.00,500.00,500.00,500.00
Teach in Prison,SISG,5,4430.89,1100.00,4430.89,4430.89
Team HBV,SISG,8,800.00,800.00,800.00,800.00
Theater For Charity,SISG,10,2420.00,1500.00,1500.00,1500.00
TRENZA,SISG,16,1601.00,1601.00,1601.00,1601.00
UNICEF at Cal,SISG,12,825.00,825.00,825.00,825.00
Universal Love And Peace,SISG,4,2000.00,900.00,900.00,900.00
Vietnamese Student Association,SISG,23,5000.00,5000.00,5000.00,5000.00
VISION,SISG,1,400.00,300.00,300.00,300.00
Volunteer Health Interpreters Organization,SISG,9,900.00,900.00,900.00,900.00
Volunteers Around the World,SISG,4,800.00,800.00,800.00,800.00
Volunteers for Medical Outreach,SISG,7,5000.00,1500.00,1500.00,1500.00
Women and Youth Supporting Each Other,SISG,2,600.00,500.00,500.00,500.00
WonderWorks,SISG,4,460.00,460.00,460.00,460.00
World Literacy Project,SISG,3,200.00,200.00,200.00,200.00
Writer Coach Connection at Berkeley,SISG,1,250.00,250.00,250.00,250.00
Xinaxtli la Mexa de UCB,SISG,43,25630.00,2700.00,2700.00,2700.00
You Mean More,SISG,4,3000.00,900.00,900.00,900.00
Young Queers United for Empowerment,SISG,7,925.00,925.00,925.00,925.00
Youth Empowerment Program,SISG,3,800.00,700.00,700.00,700.00
Youth Support Program,SISG,19,1000.00,800.00,800.00,800.00
