Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Cal Slam,SAG,11,700.00,700.00,700.00,700.00
Cal Taiko,SAG,10,2700.00,2700.00,2700.00,2700.00
Cal Undergraduate Public Health Coalition,SAG,11,1480.00,1180.00,1180.00,1180.00
California Mock Trial,SAG,15,55000.00,4500.00,20000.00,20000.00
Californians,SAG,12,2500.00,2400.00,2400.00,2400.00
Californium Brewing and Winemaking,SAG,1,150.00,150.00,150.00,150.00
Catholic Students at Cal- Newman Hall,SAG,3,500.00,500.00,500.00,500.00
CEE Joint Fundraising Committee,SAG,1,0.00,0.00,0.00,0.00
Chi Epsilon,SAG,17,0.00,0.00,0.00,0.00
Chinese A Cappella at Berkeley,SAG,1,500.00,200.00,200.00,200.00
Chinese People Union,SAG,11,3485.00,1100.00,1100.00,1100.00
Chinese Student Association,SAG,25,4000.00,3000.00,3000.00,3000.00
Christian Medical and Dental Associations Chapter at Berkeley,SAG,2,70.00,70.00,70.00,70.00
Chun Jin Ahm,SAG,1,0.00,0.00,0.00,0.00
Circle K International,SAG,20,19500.00,3500.00,3500.00,3500.00
Cognitive Science Students Association,SAG,16,500.00,500.00,500.00,500.00
Committee for Korea Studies,SAG,10,500.00,500.00,500.00,500.00
Common Cause/Democracy Matters of Berkeley,SAG,3,235.00,235.00,235.00,235.00
Company,SAG,1,500.00,200.00,200.00,200.00
Computer Science Undergraduate Association,SAG,40,2000.00,1700.00,1700.00,1700.00
Conscious Network (formerly Conscious Living Collective),SAG,2,130.00,130.00,130.00,130.00
Conservation & Resource Studies Student Organization,SAG,5,500.00,500.00,500.00,500.00
Creative Applications to Life in Origami,SAG,5,230.00,230.00,230.00,230.00
Creative Marketing Group,SAG,2,1000.00,400.00,400.00,400.00
Crossroads Christian Fellowship,SAG,6,400.00,400.00,400.00,400.00
Curling Club at Berkeley,SAG,2,1800.00,400.00,400.00,400.00
Danceworx,SAG,18,1600.00,1600.00,1600.00,1600.00
Danza In Xochitl in Cuicatl,SAG,2,1350.00,400.00,400.00,400.00
Data Science Collaborative at Berkeley,SAG,1,900.00,200.00,200.00,200.00
DeCadence,SAG,15,4979.00,700.00,700.00,700.00
Delta Kappa Alpha,SAG,1,3000.00,200.00,200.00,200.00
Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,SAG,12,500.00,500.00,500.00,500.00
Department of Integrative Biology Students,SAG,1,100.00,100.00,100.00,100.00
Design for America,SAG,3,620.00,600.00,600.00,600.00
"Dil Se, UC Berkeley",SAG,6,1000.00,600.00,600.00,600.00
East Asian Langauges & Cultures Undergraduate Student Association,SAG,5,200.00,200.00,200.00,200.00
East Asian Union,SAG,4,800.00,800.00,800.00,800.00
Education Undergraduates,SAG,8,200.00,200.00,200.00,200.00
Educational Opportunity Program Student Association,SAG,2,350.00,350.00,350.00,350.00
EFC Chinese Fellowship,SAG,1,1100.00,200.00,200.00,200.00
Eggster Organization,SAG,14,2000.00,1600.00,1600.00,1600.00
EGO: UC Berkeley's Korean Traditional Percussion Group,SAG,4,3000.00,800.00,800.00,800.00
Engineering Student Council *,SAG,22,30000.00,30000.00,30000.00,30000.00
English Undergraduate Association,SAG,9,100.00,100.00,100.00,100.00
ESPR at Berkeley,SAG,1,120.00,120.00,120.00,120.00
Everybody Dance Now! Berkeley,SAG,1,2167.85,300.00,200.00,200.00
Fashion and Student Trends,SAG,3,1800.00,600.00,600.00,600.00
Fei Tian Dancers,SAG,11,500.00,500.00,500.00,500.00
